seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31001,0.0,False,0.009531374106433677,0.001588562351072298,0.018268467037331204,tie,2000,0.05,0.02
31002,0.0,False,0.005866666666666687,0.0016000000000000458,0.010666666666666602,tie,2000,0.05,0.02
31003,0.0,False,0.0017074558907228532,-0.0011383039271486428,0.005122367672168449,tie,2000,0.05,0.02
31004,0.0,False,0.0035545023696682554,-0.0005924170616113944,0.007701421800947905,tie,2000,0.05,0.02
31005,0.0,False,0.002835538752362976,0.0,0.0061436672967863926,tie,2000,0.05,0.02
31006,0.0,False,0.007029053420806064,0.0032802249297094743,0.011246485473289658,tie,2000,0.05,0.02
31007,0.0,False,0.007773459189339249,0.003331482509716821,0.01277068295391448,tie,2000,0.05,0.02
31008,0.0,False,0.005202913631633721,0.0010405827263267886,0.009365244536940764,tie,2000,0.05,0.02
31009,0.0,False,0.001828153564899404,-0.000365630712979903,0.004021937842778711,tie,2000,0.05,0.02
31010,0.0,False,0.0022688598979012653,-0.001701644923425949,0.006239364719228591,tie,2000,0.05,0.02
31011,0.0,False,0.007462686567164201,0.0027137042062415073,0.012890094979647215,tie,2000,0.05,0.02
31012,0.0,False,0.0027835768963118124,-0.002087682672233915,0.008350730688935215,tie,2000,0.05,0.02
31013,0.0,False,0.0020463847203274765,-0.0027285129604365244,0.006821282401091366,tie,2000,0.05,0.02
31014,0.0,False,0.0076548364648573175,0.0027835768963117014,0.013221990257480831,tie,2000,0.05,0.02
31015,0.0,False,0.004854368932038833,0.0010787486515640987,0.00916936353829556,tie,2000,0.05,0.02
31016,0.0,False,0.0027700831024931594,-0.002216066481994461,0.007756232686980558,tie,2000,0.05,0.02
31017,0.0,False,0.002653927813163537,-0.002123142250530785,0.007961783439490389,tie,2000,0.05,0.02
31018,0.0,False,0.008181246066708558,0.0037759597230961894,0.013845185651353065,tie,2000,0.05,0.02
31019,0.0,False,0.0031688546853779753,0.0,0.006790402897238534,tie,2000,0.05,0.02
31020,0.0,False,0.0028042624789680337,-0.001121704991587258,0.007291082445316843,tie,2000,0.05,0.02
31001,0.0,True,-0.11199364575059567,-0.13343923749007147,-0.09213661636219228,retrieval,2000,0.05,0.02
31002,0.0,True,-0.12480000000000002,-0.14186666666666659,-0.10933333333333334,retrieval,2000,0.05,0.02
31003,0.0,True,-0.1189527603870234,-0.13431986340352875,-0.10358565737051795,retrieval,2000,0.05,0.02
31004,0.0,True,-0.13388625592417058,-0.15047393364928907,-0.1172985781990521,retrieval,2000,0.05,0.02
31005,0.0,True,-0.12948960302457468,-0.14461247637051045,-0.11436672967863903,retrieval,2000,0.05,0.02
31006,0.0,True,-0.12605435801312087,-0.14104967197750706,-0.11105904404873473,retrieval,2000,0.05,0.02
31007,0.0,True,-0.1426985008328706,-0.16046640755136032,-0.1254858411993337,retrieval,2000,0.05,0.02
