seed,target_deterministic_share,lexical_variation
31001,0.0,False
31002,0.0,False
31003,0.0,False
31004,0.0,False
31005,0.0,False
31006,0.0,False
31007,0.0,False
31008,0.0,False
31009,0.0,False
31010,0.0,False
31011,0.0,False
31012,0.0,False
31013,0.0,False
31014,0.0,False
31015,0.0,False
31016,0.0,False
31017,0.0,False
31018,0.0,False
31019,0.0,False
31020,0.0,False
31001,0.0,True
31002,0.0,True
31003,0.0,True
31004,0.0,True
31005,0.0,True
31006,0.0,True
31007,0.0,True
31008,0.0,True
31009,0.0,True
31010,0.0,True
31011,0.0,True
31012,0.0,True
31013,0.0,True
31014,0.0,True
31015,0.0,True
31016,0.0,True
31017,0.0,True
31018,0.0,True
31019,0.0,True
31020,0.0,True
31001,0.2,False
31002,0.2,False
31003,0.2,False
31004,0.2,False
31005,0.2,False
31006,0.2,False
31007,0.2,False
31008,0.2,False
31009,0.2,False
31010,0.2,False
31011,0.2,False
31012,0.2,False
31013,0.2,False
31014,0.2,False
31015,0.2,False
31016,0.2,False
31017,0.2,False
31018,0.2,False
31019,0.2,False
31020,0.2,False
31001,0.2,True
31002,0.2,True
31003,0.2,True
31004,0.2,True
31005,0.2,True
31006,0.2,True
31007,0.2,True
31008,0.2,True
31009,0.2,True
31010,0.2,True
31011,0.2,True
31012,0.2,True
31013,0.2,True
31014,0.2,True
31015,0.2,True
31016,0.2,True
31017,0.2,True
31018,0.2,True
31019,0.2,True
31020,0.2,True
31001,0.3,False
31002,0.3,False
31003,0.3,False
31004,0.3,False
31005,0.3,False
31006,0.3,False
31007,0.3,False
31008,0.3,False
31009,0.3,False
31010,0.3,False
31011,0.3,False
31012,0.3,False
31013,0.3,False
31014,0.3,False
31015,0.3,False
31016,0.3,False
31017,0.3,False
31018,0.3,False
31019,0.3,False
31020,0.3,False
31001,0.3,True
31002,0.3,True
31003,0.3,True
31004,0.3,True
31005,0.3,True
31006,0.3,True
31007,0.3,True
31008,0.3,True
31009,0.3,True
31010,0.3,True
31011,0.3,True
31012,0.3,True
31013,0.3,True
31014,0.3,True
31015,0.3,True
31016,0.3,True
31017,0.3,True
31018,0.3,True
31019,0.3,True
31020,0.3,True
31001,0.5,False
31002,0.5,False
31003,0.5,False
31004,0.5,False
31005,0.5,False
31006,0.5,False
31007,0.5,False
31008,0.5,False
31009,0.5,False
31010,0.5,False
31011,0.5,False
31012,0.5,False
31013,0.5,False
31014,0.5,False
31015,0.5,False
31016,0.5,False
31017,0.5,False
31018,0.5,False
31019,0.5,False
31020,0.5,False
31001,0.5,True
31002,0.5,True
31003,0.5,True
31004,0.5,True
31005,0.5,True
31006,0.5,True
31007,0.5,True
31008,0.5,True
31009,0.5,True
31010,0.5,True
31011,0.5,True
31012,0.5,True
31013,0.5,True
31014,0.5,True
31015,0.5,True
31016,0.5,True
31017,0.5,True
31018,0.5,True
31019,0.5,True
31020,0.5,True
31001,0.75,False
31002,0.75,False
31003,0.75,False
31004,0.75,False
31005,0.75,False
31006,0.75,False
31007,0.75,False
31008,0.75,False
31009,0.75,False
31010,0.75,False
31011,0.75,False
31012,0.75,False
31013,0.75,False
31014,0.75,False
31015,0.75,False
31016,0.75,False
31017,0.75,False
31018,0.75,False
31019,0.75,False
31020,0.75,False
31001,0.75,True
31002,0.75,True
31003,0.75,True
31004,0.75,True
31005,0.75,True
31006,0.75,True
31007,0.75,True
31008,0.75,True
31009,0.75,True
31010,0.75,True
31011,0.75,True
31012,0.75,True
31013,0.75,True
31014,0.75,True
31015,0.75,True
31016,0.75,True
31017,0.75,True
31018,0.75,True
31019,0.75,True
31020,0.75,True
31001,1.0,False
31002,1.0,False
31003,1.0,False
31004,1.0,False
31005,1.0,False
31006,1.0,False
31007,1.0,False
31008,1.0,False
31009,1.0,False
31010,1.0,False
31011,1.0,False
31012,1.0,False
31013,1.0,False
31014,1.0,False
31015,1.0,False
31016,1.0,False
31017,1.0,False
31018,1.0,False
31019,1.0,False
31020,1.0,False
31001,1.0,True
31002,1.0,True
31003,1.0,True
31004,1.0,True
31005,1.0,True
31006,1.0,True
31007,1.0,True
31008,1.0,True
31009,1.0,True
31010,1.0,True
31011,1.0,True
31012,1.0,True
31013,1.0,True
31014,1.0,True
31015,1.0,True
31016,1.0,True
31017,1.0,True
31018,1.0,True
31019,1.0,True
31020,1.0,True
