label,seed,target_deterministic_share,lexical_variation,p_transform,realized_det_pct,weighted_ads,unweighted_ads,cross_company_consistency,n_products_train,n_train_lines,n_test_lines,rules_whole_set_accuracy,rules_coverage,rules_ci_low,rules_ci_high,retrieval_whole_set_accuracy,retrieval_coverage,retrieval_ci_low,retrieval_ci_high,mechanism_divergence_rate,empirical_winner,rule_selected,elapsed_seconds,retrieval_cutoff_used
PILOT -- NOT FINAL EVIDENCE,101,0.6,False,0.0,0.7111,0.8122,0.9087,0.7328,772,7226,1830,0.8213,0.9579,0.8055,0.8377,0.8219,0.9995,0.806,0.8383,0.0448,tie,retrieval,1.044,90
PILOT -- NOT FINAL EVIDENCE,102,0.6,False,0.0,0.762,0.8683,0.9171,0.7172,773,6144,1597,0.8616,0.9612,0.8441,0.8804,0.8604,1.0,0.8422,0.8785,0.0432,tie,retrieval,1.014,90
PILOT -- NOT FINAL EVIDENCE,103,0.6,False,0.0,0.7597,0.8495,0.9185,0.7407,795,5536,1406,0.8421,0.9545,0.8236,0.8613,0.8364,1.0,0.8179,0.8549,0.0555,tie,retrieval,0.929,90
PILOT -- NOT FINAL EVIDENCE,101,0.6,True,0.3,0.7111,0.8122,0.9087,0.7328,772,7226,1830,0.5913,0.7158,0.5683,0.6137,0.7525,0.959,0.7317,0.7727,0.2546,retrieval,retrieval,4.122,90
PILOT -- NOT FINAL EVIDENCE,102,0.6,True,0.3,0.762,0.8683,0.9171,0.7172,773,6144,1597,0.6556,0.742,0.6318,0.6788,0.7927,0.953,0.7727,0.8147,0.2192,retrieval,retrieval,3.612,90
PILOT -- NOT FINAL EVIDENCE,103,0.6,True,0.3,0.7597,0.8495,0.9185,0.7407,795,5536,1406,0.6266,0.7304,0.5996,0.6515,0.7518,0.9403,0.729,0.7717,0.2212,retrieval,retrieval,2.876,90
PILOT -- NOT FINAL EVIDENCE,101,0.9,False,0.0,0.8512,0.8393,0.9461,0.7618,766,5070,1468,0.9244,0.9571,0.9094,0.9366,0.9223,1.0,0.908,0.9353,0.0525,tie,retrieval,0.912,90
PILOT -- NOT FINAL EVIDENCE,102,0.9,False,0.0,0.8526,0.8805,0.9514,0.7622,821,6274,1555,0.9235,0.9621,0.9093,0.9363,0.9209,1.0,0.9068,0.9338,0.045,tie,retrieval,0.951,90
PILOT -- NOT FINAL EVIDENCE,103,0.9,False,0.0,0.881,0.8767,0.9603,0.7579,748,5206,1346,0.9235,0.9502,0.9086,0.9368,0.9257,1.0,0.9101,0.9391,0.0513,tie,retrieval,1.156,90
PILOT -- NOT FINAL EVIDENCE,101,0.9,True,0.3,0.8512,0.8393,0.9461,0.7618,766,5070,1468,0.6785,0.7323,0.654,0.7023,0.8481,0.9612,0.829,0.8658,0.252,retrieval,retrieval,2.749,90
PILOT -- NOT FINAL EVIDENCE,102,0.9,True,0.3,0.8526,0.8805,0.9514,0.7622,821,6274,1555,0.7113,0.7563,0.6887,0.7338,0.8469,0.9698,0.8302,0.8643,0.2277,retrieval,retrieval,2.973,90
PILOT -- NOT FINAL EVIDENCE,103,0.9,True,0.3,0.881,0.8767,0.9603,0.7579,748,5206,1346,0.6805,0.7266,0.656,0.7051,0.8559,0.9562,0.8366,0.8744,0.2526,retrieval,retrieval,2.674,90
PILOT -- NOT FINAL EVIDENCE,101,0.99,False,0.0,0.8844,0.9049,0.9612,0.7738,761,5888,1504,0.9481,0.9588,0.9368,0.9594,0.9495,1.0,0.9388,0.9601,0.0485,tie,retrieval,0.936,90
PILOT -- NOT FINAL EVIDENCE,102,0.99,False,0.0,0.9019,0.9036,0.9691,0.7646,846,7208,1937,0.9577,0.9721,0.9484,0.9659,0.9566,0.9995,0.9468,0.9654,0.0315,tie,rules,1.808,90
PILOT -- NOT FINAL EVIDENCE,103,0.99,False,0.0,0.892,0.8977,0.9635,0.7568,824,7036,1863,0.9463,0.9651,0.9351,0.956,0.9442,1.0,0.9329,0.9544,0.0413,tie,retrieval,1.101,90
PILOT -- NOT FINAL EVIDENCE,101,0.99,True,0.3,0.8844,0.9049,0.9612,0.7738,761,5888,1504,0.6968,0.7214,0.6729,0.7201,0.8697,0.9508,0.8524,0.8863,0.2434,retrieval,retrieval,2.852,90
PILOT -- NOT FINAL EVIDENCE,102,0.99,True,0.3,0.9019,0.9036,0.9691,0.7646,846,7208,1937,0.7284,0.7506,0.7073,0.7491,0.8673,0.9566,0.8508,0.8828,0.2163,retrieval,rules,4.165,90
PILOT -- NOT FINAL EVIDENCE,103,0.99,True,0.3,0.892,0.8977,0.9635,0.7568,824,7036,1863,0.7139,0.7445,0.6924,0.7359,0.8615,0.9581,0.8454,0.8787,0.2292,retrieval,retrieval,4.415,90
