seed,target_deterministic_share,lexical_variation,realized_det_pct,ads_band,rules_whole_set_accuracy,retrieval_whole_set_accuracy,rules_minus_retrieval,empirical_winner,r3_selected_mechanism,r3_agrees_with_empirical
31001,0.0,False,0.5086782376502003,<0.70,0.6664019062748213,0.6568705321683876,0.0095,tie,llm_required,
31002,0.0,False,0.44994246260069043,<0.70,0.6864,0.6805333333333333,0.0059,tie,llm_required,
31003,0.0,False,0.4475,<0.70,0.7114399544678429,0.7097324985771201,0.0017,tie,llm_required,
31004,0.0,False,0.4583883751651255,<0.70,0.7067535545023697,0.7031990521327014,0.0036,tie,llm_required,
31005,0.0,False,0.4718969555035129,<0.70,0.7046313799621928,0.7017958412098299,0.0028,tie,llm_required,
31006,0.0,False,0.45738295318127253,<0.70,0.6771321462043112,0.6701030927835051,0.007,tie,llm_required,
31007,0.0,False,0.49764150943396224,<0.70,0.6996113270405331,0.6918378678511938,0.0078,tie,llm_required,
31008,0.0,False,0.48333333333333334,<0.70,0.676378772112383,0.6711758584807492,0.0052,tie,llm_required,
31009,0.0,False,0.45875,<0.70,0.6950639853747714,0.693235831809872,0.0018,tie,llm_required,
31010,0.0,False,0.4810126582278481,<0.70,0.685195689166194,0.6829268292682927,0.0023,tie,llm_required,
31011,0.0,False,0.4919653893695921,<0.70,0.6743554952510177,0.6668928086838535,0.0075,tie,llm_required,
31012,0.0,False,0.5267489711934157,<0.70,0.6833681280445373,0.6805845511482255,0.0028,tie,llm_required,
31013,0.0,False,0.5139240506329114,<0.70,0.669849931787176,0.6678035470668485,0.002,tie,llm_required,
31014,0.0,False,0.4837451235370611,<0.70,0.6757132915796799,0.6680584551148225,0.0077,tie,llm_required,
31015,0.0,False,0.4820766378244747,<0.70,0.7173678532901834,0.7125134843581445,0.0049,tie,llm_required,
31016,0.0,False,0.4743276283618582,<0.70,0.7240997229916898,0.7213296398891966,0.0028,tie,llm_required,
31017,0.0,False,0.44138755980861244,<0.70,0.6894904458598726,0.6868365180467091,0.0027,tie,llm_required,
31018,0.0,False,0.5113636363636364,<0.70,0.6891126494650723,0.6809314033983638,0.0082,tie,llm_required,
31019,0.0,False,0.4840357598978289,<0.70,0.6985061113626075,0.6953372566772296,0.0032,tie,llm_required,
31020,0.0,False,0.45625,<0.70,0.6763881099270892,0.6735838474481212,0.0028,tie,llm_required,
31001,0.0,True,0.5086782376502003,<0.70,0.4892772041302621,0.6012708498808578,-0.112,retrieval,llm_required,
31002,0.0,True,0.44994246260069043,<0.70,0.512,0.6368,-0.1248,retrieval,llm_required,
31003,0.0,True,0.4475,<0.70,0.5429709732498577,0.6619237336368811,-0.119,retrieval,llm_required,
31004,0.0,True,0.4583883751651255,<0.70,0.4994075829383886,0.6332938388625592,-0.1339,retrieval,llm_required,
31005,0.0,True,0.4718969555035129,<0.70,0.5203213610586012,0.6498109640831758,-0.1295,retrieval,llm_required,
31006,0.0,True,0.45738295318127253,<0.70,0.4845360824742268,0.6105904404873477,-0.1261,retrieval,llm_required,
31007,0.0,True,0.49764150943396224,<0.70,0.495835646862854,0.6385341476957246,-0.1427,retrieval,llm_required,
31008,0.0,True,0.48333333333333334,<0.70,0.48647242455775236,0.6165452653485952,-0.1301,retrieval,llm_required,
31009,0.0,True,0.45875,<0.70,0.5224862888482632,0.63363802559415,-0.1112,retrieval,llm_required,
31010,0.0,True,0.4810126582278481,<0.70,0.504254112308565,0.6307430516165626,-0.1265,retrieval,llm_required,
31011,0.0,True,0.4919653893695921,<0.70,0.47421981004070557,0.6031207598371777,-0.1289,retrieval,llm_required,
31012,0.0,True,0.5267489711934157,<0.70,0.5059151009046625,0.6367432150313153,-0.1308,retrieval,llm_required,
31013,0.0,True,0.5139240506329114,<0.70,0.4931787175989086,0.6200545702592087,-0.1269,retrieval,llm_required,
31014,0.0,True,0.4837451235370611,<0.70,0.47738343771746694,0.6005567153792624,-0.1232,retrieval,llm_required,
31015,0.0,True,0.4820766378244747,<0.70,0.5215749730312838,0.6553398058252428,-0.1338,retrieval,llm_required,
31016,0.0,True,0.4743276283618582,<0.70,0.5407202216066482,0.6537396121883656,-0.113,retrieval,llm_required,
31017,0.0,True,0.44138755980861244,<0.70,0.4968152866242038,0.6236730360934183,-0.1269,retrieval,llm_required,
31018,0.0,True,0.5113636363636364,<0.70,0.5059786028949025,0.6331025802391441,-0.1271,retrieval,llm_required,
31019,0.0,True,0.4840357598978289,<0.70,0.5513807152557718,0.6568583069262109,-0.1055,retrieval,llm_required,
31020,0.0,True,0.45625,<0.70,0.4991587212563096,0.6287156477846326,-0.1296,retrieval,llm_required,
31001,0.2,False,0.5730027548209367,<0.70,0.7144736842105263,0.7,0.0145,tie,llm_required,
31002,0.2,False,0.5583524027459954,<0.70,0.7216931216931217,0.7174603174603175,0.0042,tie,llm_required,
31003,0.2,False,0.6032138442521632,<0.70,0.7317333333333333,0.7290666666666666,0.0027,tie,llm_required,
31004,0.2,False,0.5559360730593608,<0.70,0.7697841726618705,0.7668218366483284,0.003,tie,llm_required,
31005,0.2,False,0.5609756097560976,<0.70,0.7045009784735812,0.6992824527071102,0.0052,tie,llm_required,
