company,total_products,consistent_products,inconsistent_products,consistency_pct,avg_determinism
SYNTH COMPANY 001 SRL,21,20,1,95.24,0.9851
SYNTH COMPANY 002 SRL,18,17,1,94.44,0.859
SYNTH COMPANY 003 SRL,28,26,2,92.86,0.9922
SYNTH COMPANY 004 SRL,24,24,0,100.0,1.0
SYNTH COMPANY 005 SRL,23,19,4,82.61,0.9351
SYNTH COMPANY 006 SRL,26,26,0,100.0,1.0
SYNTH COMPANY 007 SRL,22,22,0,100.0,1.0
SYNTH COMPANY 008 SRL,25,23,2,92.0,0.9803
SYNTH COMPANY 009 SRL,14,14,0,100.0,1.0
SYNTH COMPANY 010 SRL,43,40,3,93.02,0.9949
SYNTH COMPANY 011 SRL,21,20,1,95.24,0.9917
SYNTH COMPANY 012 SRL,7,6,1,85.71,0.9333
SYNTH COMPANY 013 SRL,14,13,1,92.86,0.9643
SYNTH COMPANY 014 SRL,23,22,1,95.65,0.9873
SYNTH COMPANY 015 SRL,23,23,0,100.0,1.0
SYNTH COMPANY 016 SRL,14,14,0,100.0,1.0
SYNTH COMPANY 017 SRL,14,13,1,92.86,0.8783
SYNTH COMPANY 018 SRL,28,26,2,92.86,0.9865
SYNTH COMPANY 019 SRL,16,15,1,93.75,0.9688
SYNTH COMPANY 020 SRL,30,28,2,93.33,0.9927
SYNTH COMPANY 021 SRL,7,7,0,100.0,1.0
SYNTH COMPANY 022 SRL,20,19,1,95.0,0.9538
SYNTH COMPANY 023 SRL,18,18,0,100.0,1.0
SYNTH COMPANY 024 SRL,20,19,1,95.0,0.9556
SYNTH COMPANY 025 SRL,21,21,0,100.0,1.0
SYNTH COMPANY 026 SRL,10,10,0,100.0,1.0
SYNTH COMPANY 027 SRL,29,29,0,100.0,1.0
SYNTH COMPANY 028 SRL,6,6,0,100.0,1.0
SYNTH COMPANY 029 SRL,23,22,1,95.65,0.9815
SYNTH COMPANY 030 SRL,11,10,1,90.91,0.8312
SYNTH COMPANY 031 SRL,33,33,0,100.0,1.0
SYNTH COMPANY 032 SRL,17,17,0,100.0,1.0
SYNTH COMPANY 033 SRL,10,10,0,100.0,1.0
SYNTH COMPANY 034 SRL,20,20,0,100.0,1.0
SYNTH COMPANY 035 SRL,23,23,0,100.0,1.0
SYNTH COMPANY 036 SRL,24,23,1,95.83,0.9888
SYNTH COMPANY 037 SRL,23,23,0,100.0,1.0
SYNTH COMPANY 038 SRL,15,15,0,100.0,1.0
SYNTH COMPANY 039 SRL,18,18,0,100.0,1.0
SYNTH COMPANY 040 SRL,27,26,1,96.3,0.9906
SYNTH COMPANY 041 SRL,25,23,2,92.0,0.9854
SYNTH COMPANY 042 SRL,23,22,1,95.65,0.9952
SYNTH COMPANY 043 SRL,24,23,1,95.83,0.9925
SYNTH COMPANY 044 SRL,14,13,1,92.86,0.9869
SYNTH COMPANY 045 SRL,13,13,0,100.0,1.0
SYNTH COMPANY 046 SRL,22,22,0,100.0,1.0
SYNTH COMPANY 047 SRL,18,16,2,88.89,0.8571
SYNTH COMPANY 048 SRL,16,16,0,100.0,1.0
SYNTH COMPANY 049 SRL,33,31,2,93.94,0.9899
SYNTH COMPANY 050 SRL,21,21,0,100.0,1.0
SYNTH COMPANY 051 SRL,23,21,2,91.3,0.9655
SYNTH COMPANY 052 SRL,14,13,1,92.86,0.7812
SYNTH COMPANY 053 SRL,15,14,1,93.33,0.9184
SYNTH COMPANY 054 SRL,13,12,1,92.31,0.9615
SYNTH COMPANY 055 SRL,11,10,1,90.91,0.8909
SYNTH COMPANY 056 SRL,19,19,0,100.0,1.0
SYNTH COMPANY 057 SRL,22,22,0,100.0,1.0
SYNTH COMPANY 058 SRL,26,26,0,100.0,1.0
SYNTH COMPANY 059 SRL,6,6,0,100.0,1.0
SYNTH COMPANY 060 SRL,5,5,0,100.0,1.0
