normalized_product,n_companies,n_accounts_global,dominant_account_id,cross_company_determinism,accounts_by_company
synth maintenance 00545,4,1,609,1.0,
synth office 01085,3,1,4426,1.0,
synth utility 01016,6,3,605,0.7879,
synth raw material 00027,6,2,612,0.8704,
synth office 00581,8,3,605,0.55,
synth service 00239,5,3,707,0.5909,
synth service 00787,4,2,707,0.6,
synth retail 01130,2,1,707,1.0,
synth service 00389,6,3,613,0.7895,
synth service 00101,6,4,607,0.5309,
synth maintenance 01121,10,3,601,0.7609,
synth office 00977,4,1,622,1.0,
synth packaging 00196,3,1,401,1.0,
synth office 00499,5,3,707,0.7917,
synth office 00927,5,4,612,0.6875,
synth retail 00493,4,3,628,0.9107,
synth retail 00070,4,2,608,0.9062,
synth packaging 00299,2,2,608,0.6667,
synth misc 01191,5,3,607,0.8276,
synth utility 00914,4,1,635,1.0,
synth transport 00872,3,3,607,0.9259,
synth raw material 01015,3,1,704,1.0,
synth packaging 00421,5,3,401,0.5714,
synth service 00497,5,2,628,0.8235,
synth service 00055,9,2,707,0.8462,
synth utility 00749,3,2,608,0.9565,
synth retail 00164,5,4,411,0.431,
synth service 00332,2,2,602,0.6667,
synth utility 00878,3,4,4426,0.4545,
synth office 01155,4,2,601,0.8511,
synth raw material 00935,2,2,707,0.9333,
synth maintenance 01110,4,1,612,1.0,
synth office 01087,3,2,4426,0.8056,
synth fuel 00402,2,2,601,0.75,
synth packaging 00858,9,4,701,0.4444,
synth misc 00393,7,3,625,0.5778,
synth fuel 00756,4,1,401,1.0,
synth fuel 00047,9,5,628,0.5902,
synth fuel 00985,4,2,6022,0.875,
synth fuel 00968,2,2,613,0.5,
synth fuel 00481,6,3,704,0.64,
synth raw material 01103,4,4,601,0.7,
synth fuel 00732,5,2,371,0.5556,
synth service 00980,2,2,605,0.875,
synth raw material 00494,3,2,601,0.6154,
synth office 00604,5,2,6022,0.913,
synth raw material 00216,7,1,628,1.0,
synth transport 01057,2,2,601,0.5,
synth fuel 01033,3,3,4426,0.6667,
synth maintenance 00049,7,4,628,0.4667,
synth retail 00021,4,3,625,0.5,
synth maintenance 00597,2,1,4427,1.0,
synth raw material 00286,4,1,411,1.0,
synth misc 00953,6,3,701,0.5455,
synth raw material 00596,2,3,609,0.3333,
synth transport 01132,4,2,612,0.875,
synth maintenance 01159,5,3,612,0.5714,
synth retail 00642,3,2,608,0.6,
synth office 00407,3,3,601,0.871,
synth retail 00620,2,1,635,1.0,
synth retail 00744,6,2,601,0.8065,
synth fuel 00273,2,1,4427,1.0,
synth utility 00469,6,4,625,0.4737,
synth service 00454,5,2,701,0.9259,
synth fuel 00470,3,3,613,0.75,
synth office 00209,2,2,612,0.5,
synth service 00278,2,1,704,1.0,
synth fuel 00738,5,1,612,1.0,
synth service 00452,5,4,609,0.3953,
synth utility 00962,9,3,628,0.9368,
synth office 00177,2,2,401,0.75,
synth office 01029,3,1,601,1.0,
synth misc 00404,5,3,6022,0.8788,
synth raw material 00463,4,2,609,0.5714,
synth retail 00538,2,2,602,0.8571,
synth utility 00748,2,1,609,1.0,
synth packaging 00554,6,3,613,0.5556,
synth service 00753,4,3,628,0.6429,
synth maintenance 00741,2,2,605,0.5,
synth retail 01030,7,2,6022,0.7907,
synth office 00073,5,4,371,0.3256,
synth maintenance 01180,2,2,401,0.8333,
synth packaging 00636,5,2,4427,0.5429,
synth packaging 01047,3,2,601,0.75,
synth maintenance 01171,5,3,612,0.5833,
synth maintenance 00737,4,4,411,0.6,
synth utility 00777,2,2,609,0.931,
synth utility 00551,4,2,601,0.5217,
synth retail 00874,2,2,704,0.7143,
synth utility 01197,2,1,4426,1.0,
synth utility 00846,5,2,371,0.7647,
synth office 00320,3,1,601,1.0,
synth maintenance 00158,2,2,601,0.5,
synth packaging 00790,2,2,401,0.6667,
synth maintenance 01084,2,2,607,0.8,
synth utility 00943,3,2,6022,0.9375,
synth office 00606,2,2,6022,0.5,
synth retail 00322,3,2,635,0.6,
synth fuel 00908,3,2,4427,0.875,
synth retail 00280,2,1,4427,1.0,
synth office 01058,5,2,605,0.8,
synth utility 01076,2,1,601,1.0,
synth utility 00801,2,2,612,0.5,
synth raw material 00513,2,1,635,1.0,
synth maintenance 00257,3,1,701,1.0,
synth packaging 00235,2,2,635,0.75,
synth raw material 00110,4,3,605,0.5714,
synth maintenance 00983,4,3,704,0.8667,
synth service 00987,2,1,371,1.0,
synth transport 00199,2,2,411,0.6667,
synth office 00894,2,1,4427,1.0,
synth fuel 01183,2,1,612,1.0,
synth retail 00611,2,1,635,1.0,
synth utility 01119,2,2,704,0.5714,
