normalized_product,total_occurrences,n_accounts,dominant_account_id,dominant_account_desc,dominant_pct,determinism_score,ambiguity_score,all_accounts
synth maintenance 00545,4,4,609,,25.0,0.25,0.75,609:1;609:1;609:1;609:1
synth office 01085,15,3,4426,,60.0,0.6,0.4,4426:9;4426:3;4426:3
synth raw material 01041,5,1,609,,100.0,1.0,0.0,609:5
synth utility 01016,33,6,605,,27.27,0.2727,0.7273,605:9;605:7;605:6;608:4;605:4;6022:3
synth raw material 00027,54,8,612,,35.19,0.3519,0.6481,612:19;612:12;612:8;4426:6;612:5;612:2;4426:1;612:1
synth utility 00135,3,1,6022,,100.0,1.0,0.0,6022:3
synth misc 00054,5,1,612,,100.0,1.0,0.0,612:5
synth office 00581,40,8,605,,45.0,0.45,0.55,605:18;608:6;608:4;605:4;608:3;608:3;608:1;622:1
synth raw material 01045,7,1,701,,100.0,1.0,0.0,701:7
synth service 00239,22,5,707,,45.45,0.4545,0.5455,707:10;701:5;704:3;707:3;701:1
synth service 00787,5,4,704,,40.0,0.4,0.6,704:2;707:1;707:1;707:1
synth packaging 00995,2,1,704,,100.0,1.0,0.0,704:2
synth maintenance 01069,2,1,4427,,100.0,1.0,0.0,4427:2
synth utility 00587,7,2,628,,85.71,0.8571,0.1429,628:6;609:1
synth office 00284,2,1,625,,100.0,1.0,0.0,625:2
synth packaging 01194,1,1,4426,,100.0,1.0,0.0,4426:1
synth retail 01130,15,2,707,,80.0,0.8,0.2,707:12;707:3
synth packaging 00004,1,1,6022,,100.0,1.0,0.0,6022:1
synth transport 00009,1,1,625,,100.0,1.0,0.0,625:1
synth retail 00911,1,1,371,,100.0,1.0,0.0,371:1
synth service 00389,19,6,613,,47.37,0.4737,0.5263,613:9;613:3;602:3;613:2;605:1;613:1
synth service 00101,162,24,607,,16.67,0.1667,0.8333,607:27;602:19;607:19;607:18;607:11;602:8;608:6;607:6;608:5;608:5;607:5;608:5;608:5;602:4;6022:3;602:3;6022:2;6022:2;608:2;602:2;6022:2;6022:1;6022:1;602:1
synth fuel 00441,6,1,605,,100.0,1.0,0.0,605:6
synth fuel 00792,6,1,6022,,100.0,1.0,0.0,6022:6
synth office 00959,4,1,411,,100.0,1.0,0.0,411:4
synth utility 00946,3,1,4427,,100.0,1.0,0.0,4427:3
synth misc 01118,2,1,701,,100.0,1.0,0.0,701:2
synth service 00381,3,1,601,,100.0,1.0,0.0,601:3
synth retail 00484,4,1,401,,100.0,1.0,0.0,401:4
synth retail 00136,4,1,608,,100.0,1.0,0.0,608:4
synth fuel 00750,2,1,628,,100.0,1.0,0.0,628:2
synth service 00201,2,1,609,,100.0,1.0,0.0,609:2
synth misc 01042,1,1,6022,,100.0,1.0,0.0,6022:1
synth service 00480,2,1,701,,100.0,1.0,0.0,701:2
synth maintenance 01121,92,11,601,,36.96,0.3696,0.6304,601:34;607:18;601:10;601:7;601:6;601:4;622:4;601:3;601:3;601:2;601:1
synth office 00977,24,4,622,,54.17,0.5417,0.4583,622:13;622:7;622:3;622:1
synth packaging 00196,10,3,401,,60.0,0.6,0.4,401:6;401:2;401:2
synth office 00499,24,5,707,,62.5,0.625,0.375,707:15;707:4;704:2;704:2;4427:1
synth retail 00629,2,1,622,,100.0,1.0,0.0,622:2
synth office 00927,16,5,612,,68.75,0.6875,0.3125,612:11;625:2;625:1;608:1;607:1
synth office 00282,21,1,612,,100.0,1.0,0.0,612:21
synth retail 00493,392,4,628,,76.53,0.7653,0.2347,628:300;628:57;622:29;371:6
synth retail 00070,64,4,608,,70.31,0.7031,0.2969,608:45;608:7;608:6;401:6
synth packaging 00094,43,1,602,,100.0,1.0,0.0,602:43
synth utility 01083,192,1,704,,100.0,1.0,0.0,704:192
synth office 00841,32,1,411,,100.0,1.0,0.0,411:32
synth retail 00932,63,1,607,,100.0,1.0,0.0,607:63
synth service 00253,69,1,602,,100.0,1.0,0.0,602:69
synth packaging 00299,18,2,608,,66.67,0.6667,0.3333,608:12;612:6
synth utility 00833,10,2,4427,,80.0,0.8,0.2,4427:8;707:2
synth raw material 00601,19,1,4427,,100.0,1.0,0.0,4427:19
synth misc 01191,29,5,607,,58.62,0.5862,0.4138,607:17;401:4;607:4;607:3;605:1
synth utility 00914,47,4,635,,59.57,0.5957,0.4043,635:28;635:14;635:3;635:2
synth transport 00872,27,3,607,,92.59,0.9259,0.0741,607:25;602:1;625:1
synth office 00928,45,1,601,,100.0,1.0,0.0,601:45
synth retail 01128,5,1,628,,100.0,1.0,0.0,628:5
synth raw material 01015,34,3,704,,47.06,0.4706,0.5294,704:16;704:16;704:2
synth packaging 00546,12,3,707,,50.0,0.5,0.5,707:6;4427:3;411:3
synth misc 00131,7,1,613,,100.0,1.0,0.0,613:7
synth maintenance 00664,5,1,605,,100.0,1.0,0.0,605:5
synth office 00226,2,1,628,,100.0,1.0,0.0,628:2
synth retail 01178,5,1,609,,100.0,1.0,0.0,609:5
synth misc 00822,7,1,635,,100.0,1.0,0.0,635:7
synth retail 00971,4,1,701,,100.0,1.0,0.0,701:4
synth transport 00232,6,1,625,,100.0,1.0,0.0,625:6
synth maintenance 00939,1,1,605,,100.0,1.0,0.0,605:1
synth retail 00615,1,1,401,,100.0,1.0,0.0,401:1
synth fuel 00907,1,1,411,,100.0,1.0,0.0,411:1
synth utility 00473,6,1,707,,100.0,1.0,0.0,707:6
synth utility 00159,3,1,4426,,100.0,1.0,0.0,4426:3
synth packaging 00421,28,5,401,,32.14,0.3214,0.6786,401:9;601:7;401:7;609:4;601:1
synth raw material 00854,8,1,628,,100.0,1.0,0.0,628:8
synth service 00192,2,1,622,,100.0,1.0,0.0,622:2
synth transport 00193,2,1,601,,100.0,1.0,0.0,601:2
synth service 00497,17,5,628,,64.71,0.6471,0.3529,628:11;628:2;6022:2;628:1;6022:1
synth service 00818,1,1,602,,100.0,1.0,0.0,602:1
synth fuel 00333,3,1,628,,100.0,1.0,0.0,628:3
synth packaging 00173,2,1,625,,100.0,1.0,0.0,625:2
synth maintenance 00806,2,1,6022,,100.0,1.0,0.0,6022:2
synth misc 00778,1,1,613,,100.0,1.0,0.0,613:1
synth raw material 00405,1,1,707,,100.0,1.0,0.0,707:1
synth transport 00231,1,1,707,,100.0,1.0,0.0,707:1
synth service 00055,52,9,707,,23.08,0.2308,0.7692,707:12;707:11;4427:8;707:7;707:5;707:4;707:3;707:1;707:1
synth service 00736,1,1,605,,100.0,1.0,0.0,605:1
synth misc 01081,1,1,635,,100.0,1.0,0.0,635:1
synth office 00225,1,1,622,,100.0,1.0,0.0,622:1
synth office 00654,5,1,401,,100.0,1.0,0.0,401:5
synth utility 00749,23,3,608,,52.17,0.5217,0.4783,608:12;608:10;607:1
synth retail 00164,58,5,411,,43.1,0.431,0.569,411:25;704:14;707:13;4427:4;4427:2
synth service 00332,12,3,602,,50.0,0.5,0.5,602:6;609:4;602:2
synth office 00635,27,1,601,,100.0,1.0,0.0,601:27
synth utility 00657,1,1,4427,,100.0,1.0,0.0,4427:1
synth packaging 00658,7,1,704,,100.0,1.0,0.0,704:7
synth utility 00878,11,5,4426,,45.45,0.4545,0.5455,4426:5;635:2;371:2;635:1;602:1
synth raw material 00761,2,1,625,,100.0,1.0,0.0,625:2
