normalized_product,total_lines,n_vat_rates,dominant_vat,dominant_vat_pct,vat_rates
synth maintenance 00545,4,1,19.00,100.0,19.00:4
synth office 01085,15,2,11.00,93.33,11.00:14;21.00:1
synth raw material 01041,5,1,5.00,100.0,5.00:5
synth utility 01016,31,1,19.00,100.0,19.00:31
synth raw material 00027,50,4,11.00,92.0,0.00:1;11.00:46;5.00:2;19.00:1
synth utility 00135,3,1,9.00,100.0,9.00:3
synth misc 00054,5,1,0.00,100.0,0.00:5
synth office 00581,39,2,11.00,97.44,11.00:38;5.00:1
synth raw material 01045,7,1,19.00,100.0,19.00:7
synth service 00239,22,2,19.00,95.45,0.00:1;19.00:21
synth service 00787,5,1,11.00,100.0,11.00:5
synth packaging 00995,1,1,21.00,100.0,21.00:1
synth maintenance 01069,2,1,11.00,100.0,11.00:2
synth utility 00587,7,2,11.00,85.71,11.00:6;19.00:1
synth office 00284,2,1,19.00,100.0,19.00:2
synth packaging 01194,1,1,19.00,100.0,19.00:1
synth retail 01130,14,1,5.00,100.0,5.00:14
synth packaging 00004,1,1,0.00,100.0,0.00:1
synth transport 00009,1,1,5.00,100.0,5.00:1
synth retail 00911,1,1,0.00,100.0,0.00:1
synth service 00389,18,2,0.00,94.44,0.00:17;9.00:1
synth service 00101,158,5,9.00,94.94,9.00:150;5.00:3;0.00:1;19.00:3;21.00:1
synth fuel 00441,6,1,0.00,100.0,0.00:6
synth fuel 00792,6,1,21.00,100.0,21.00:6
synth office 00959,3,1,5.00,100.0,5.00:3
synth utility 00946,3,1,9.00,100.0,9.00:3
synth misc 01118,2,2,5.00,50.0,5.00:1;21.00:1
synth service 00381,3,1,19.00,100.0,19.00:3
synth retail 00484,3,1,5.00,100.0,5.00:3
synth retail 00136,3,1,11.00,100.0,11.00:3
synth fuel 00750,2,1,19.00,100.0,19.00:2
synth service 00201,2,1,21.00,100.0,21.00:2
synth misc 01042,1,1,9.00,100.0,9.00:1
synth service 00480,2,1,9.00,100.0,9.00:2
synth maintenance 01121,84,2,19.00,97.62,19.00:82;11.00:2
synth office 00977,23,3,0.00,91.3,0.00:21;21.00:1;11.00:1
synth packaging 00196,10,1,11.00,100.0,11.00:10
synth office 00499,24,2,11.00,95.83,11.00:23;5.00:1
synth retail 00629,2,1,19.00,100.0,19.00:2
synth office 00927,15,2,5.00,93.33,5.00:14;11.00:1
synth office 00282,18,2,5.00,94.44,5.00:17;0.00:1
synth retail 00070,60,3,21.00,96.67,21.00:58;5.00:1;9.00:1
synth packaging 00094,41,3,9.00,95.12,9.00:39;19.00:1;0.00:1
synth retail 00493,373,6,11.00,94.64,11.00:353;9.00:9;21.00:4;0.00:2;5.00:2;19.00:3
synth utility 01083,179,5,9.00,94.41,9.00:169;21.00:3;11.00:3;5.00:3;0.00:1
synth office 00841,29,1,19.00,100.0,19.00:29
synth retail 00932,62,6,5.00,91.94,5.00:57;9.00:1;0.00:1;21.00:1;11.00:1;19.00:1
synth service 00253,65,2,5.00,96.92,5.00:63;11.00:2
synth packaging 00299,15,3,11.00,86.67,21.00:1;11.00:13;19.00:1
synth utility 00833,10,2,0.00,90.0,0.00:9;19.00:1
synth raw material 00601,19,2,5.00,94.74,5.00:18;19.00:1
synth misc 01191,27,1,9.00,100.0,9.00:27
synth transport 00872,26,4,11.00,88.46,11.00:23;0.00:1;21.00:1;9.00:1
synth office 00928,43,4,11.00,90.7,11.00:39;21.00:1;0.00:1;5.00:2
synth retail 01128,4,1,11.00,100.0,11.00:4
synth raw material 01015,34,3,21.00,94.12,21.00:32;9.00:1;0.00:1
synth packaging 00546,12,2,0.00,91.67,0.00:11;9.00:1
synth misc 00131,6,1,21.00,100.0,21.00:6
synth maintenance 00664,5,1,21.00,100.0,21.00:5
