logical_key,cui,company_name,reporting_period,source_file,sha256,schema_version,invoice_number,invoice_date,invoice_type,direction,line_number,product_code,product_description,normalized_product,quantity,unit_of_measure,unit_price,line_amount,vat_percent,tax_code,tax_type,tax_amount,account_id,account_description,account_type,warehouse_id,warehouse_exists,validation_status
9900001_31-03-2025,9900001,SYNTH COMPANY 001 SRL,31-03-2025,SYNTH_9900001_31-03-2025_Inf.xml,970642cf55300eb8acad42b766adae14d6dbc576d1ea6b204087632d257f6f42,2.0,SYN9900001-000000,2025-03-18,380,PURCHASE,1,00000545,SYNTH MAINTENANCE 00545,synth maintenance 00545,173.550,BUC,39.05,,19.00,319545,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_31-03-2025,9900001,SYNTH COMPANY 001 SRL,31-03-2025,SYNTH_9900001_31-03-2025_Inf.xml,970642cf55300eb8acad42b766adae14d6dbc576d1ea6b204087632d257f6f42,2.0,SYN9900001-000000,2025-03-18,380,PURCHASE,2,00001085,SYNTH OFFICE 01085,synth office 01085,320.005,,144.13,,11.00,311085,300,,4426,TVA DEDUCTIBILA,Activ,,False,VALID
9900001_31-03-2025,9900001,SYNTH COMPANY 001 SRL,31-03-2025,SYNTH_9900001_31-03-2025_Inf.xml,970642cf55300eb8acad42b766adae14d6dbc576d1ea6b204087632d257f6f42,2.0,SYN9900001-000000,2025-03-18,380,PURCHASE,3,00001041,SYNTH RAW MATERIAL 01041,synth raw material 01041,239.196,BUC,293.69,,5.00,305041,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_31-03-2025,9900001,SYNTH COMPANY 001 SRL,31-03-2025,SYNTH_9900001_31-03-2025_Inf.xml,970642cf55300eb8acad42b766adae14d6dbc576d1ea6b204087632d257f6f42,2.0,SYN9900001-000000,2025-03-18,380,PURCHASE,4,00001041,SYNTH RAW MATERIAL 01041,synth raw material 01041,361.754,KG,303.68,,5.00,305041,300,,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,,False,VALID
9900001_31-03-2025,9900001,SYNTH COMPANY 001 SRL,31-03-2025,SYNTH_9900001_31-03-2025_Inf.xml,970642cf55300eb8acad42b766adae14d6dbc576d1ea6b204087632d257f6f42,2.0,SYN9900001-000000,2025-03-18,380,PURCHASE,5,00001016,SYNTH UTILITY 01016,synth utility 01016,168.260,,39.30,,19.00,319016,300,,605,CHELT. CU ENERGIA SI APA,Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,380507018535a5f5a363568ae4f7048ec97517d2ac7de9788d214d8585d7eefa,2.0,SYN9900001-000001,2024-07-08,380,PURCHASE,1,00001016,SYNTH UTILITY 01016,synth utility 01016,315.609,L,119.59,,19.00,319016,300,,605,CHELT. CU ENERGIA SI APA,Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,380507018535a5f5a363568ae4f7048ec97517d2ac7de9788d214d8585d7eefa,2.0,SYN9900001-000001,2024-07-08,380,PURCHASE,2,00000027,SYNTH RAW MATERIAL 00027,synth raw material 00027,260.150,BUC,59.14,,0.00,300027,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-07-2024,9900001,SYNTH COMPANY 001 SRL,31-07-2024,SYNTH_9900001_31-07-2024_Inf.xml,380507018535a5f5a363568ae4f7048ec97517d2ac7de9788d214d8585d7eefa,2.0,SYN9900001-000001,2024-07-08,380,PURCHASE,3,00000135,SYNTH UTILITY 00135,synth utility 00135,22.037,KG,437.54,,9.00,309135,300,,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,,False,VALID
9900001_31-12-2024,9900001,SYNTH COMPANY 001 SRL,31-12-2024,SYNTH_9900001_31-12-2024_Inf.xml,3eccd2ec3c29e7f988bace34af12d449a57d2bdde3befea2afbd6aef0e8df4a6,2.0,SYN9900001-000002,2024-12-26,380,PURCHASE,1,00000054,SYNTH MISC 00054,synth misc 00054,342.769,BUC,160.87,,0.00,300054,300,,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,,False,VALID
9900001_31-12-2024,9900001,SYNTH COMPANY 001 SRL,31-12-2024,SYNTH_9900001_31-12-2024_Inf.xml,3eccd2ec3c29e7f988bace34af12d449a57d2bdde3befea2afbd6aef0e8df4a6,2.0,SYN9900001-000002,2024-12-26,380,PURCHASE,2,00000581,SYNTH OFFICE 00581,synth office 00581,110.083,L,178.54,,11.00,311581,300,,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,,False,VALID
