cui,company_name,product,direction,account_id,account_description,tax_code,ads,evidence_count
9900001,SYNTH COMPANY 001 SRL,synth maintenance 00545,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,319545,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth office 01085,PURCHASE,4426,TVA DEDUCTIBILA,311085,1.0000,3
9900001,SYNTH COMPANY 001 SRL,synth raw material 01041,PURCHASE,609,REDUCERI COMERCIALE PRIMITE,305041,1.0000,5
9900001,SYNTH COMPANY 001 SRL,synth utility 01016,PURCHASE,605,CHELT. CU ENERGIA SI APA,319016,1.0000,7
9900001,SYNTH COMPANY 001 SRL,synth raw material 00027,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",311027,1.0000,8
9900001,SYNTH COMPANY 001 SRL,synth utility 00135,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,309135,1.0000,3
9900001,SYNTH COMPANY 001 SRL,synth misc 00054,PURCHASE,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",300054,1.0000,5
9900001,SYNTH COMPANY 001 SRL,synth office 00581,PURCHASE,608,CHELT. PRIVIND AMBALAJELE,311581,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth raw material 01045,SALE,701,VEN. DIN VANZAREA PROD. FINITE,319045,1.0000,7
9900001,SYNTH COMPANY 001 SRL,synth service 00239,SALE,701,VEN. DIN VANZAREA PROD. FINITE,319239,1.0000,5
9900001,SYNTH COMPANY 001 SRL,synth service 00787,SALE,707,VEN. DIN VANZAREA MARFURILOR,311787,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth packaging 00995,SALE,704,VEN. DIN SERVICII PRESTATE,321995,1.0000,2
9900001,SYNTH COMPANY 001 SRL,synth maintenance 01069,SALE,4427,TVA COLECTATA,311069,1.0000,2
9900001,SYNTH COMPANY 001 SRL,synth utility 00587,PURCHASE,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,311587,0.8571,7
9900001,SYNTH COMPANY 001 SRL,synth office 00284,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",319284,1.0000,2
9900001,SYNTH COMPANY 001 SRL,synth packaging 01194,PURCHASE,4426,TVA DEDUCTIBILA,319194,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth retail 01130,SALE,707,VEN. DIN VANZAREA MARFURILOR,305130,1.0000,3
9900001,SYNTH COMPANY 001 SRL,synth packaging 00004,PURCHASE,6022,CHELT. PRIVIND COMBUSTIBILUL,300004,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth transport 00009,PURCHASE,625,"CHELT. CU DEPLASARI, DETASARI",305009,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth retail 00911,PURCHASE,371,MARFURI,300911,1.0000,1
9900001,SYNTH COMPANY 001 SRL,synth service 00389,PURCHASE,605,CHELT. CU ENERGIA SI APA,300389,1.0000,1
