product,direction,dominant_account,global_ads,company_count,distinct_accounts
synth maintenance 00545,PURCHASE,609,1.0000,4,1
synth office 01085,PURCHASE,4426,1.0000,3,1
synth raw material 01041,PURCHASE,609,1.0000,1,1
synth utility 01016,PURCHASE,605,0.7879,6,3
synth raw material 00027,PURCHASE,612,0.8704,6,2
synth utility 00135,PURCHASE,6022,1.0000,1,1
synth misc 00054,PURCHASE,612,1.0000,1,1
synth office 00581,PURCHASE,605,0.5500,8,3
synth raw material 01045,SALE,701,1.0000,1,1
synth service 00239,SALE,707,0.5909,5,3
synth service 00787,SALE,707,0.6000,4,2
synth packaging 00995,SALE,704,1.0000,1,1
synth maintenance 01069,SALE,4427,1.0000,1,1
synth utility 00587,PURCHASE,628,0.8571,1,2
synth office 00284,PURCHASE,625,1.0000,1,1
synth packaging 01194,PURCHASE,4426,1.0000,1,1
synth retail 01130,SALE,707,1.0000,2,1
synth packaging 00004,PURCHASE,6022,1.0000,1,1
synth transport 00009,PURCHASE,625,1.0000,1,1
synth retail 00911,PURCHASE,371,1.0000,1,1
synth service 00389,PURCHASE,613,0.7895,6,3
synth service 00101,PURCHASE,607,0.5309,6,4
synth fuel 00441,PURCHASE,605,1.0000,1,1
synth fuel 00792,PURCHASE,6022,1.0000,1,1
synth office 00959,SALE,411,1.0000,1,1
synth utility 00946,SALE,4427,1.0000,1,1
synth misc 01118,SALE,701,1.0000,1,1
synth service 00381,PURCHASE,601,1.0000,1,1
synth retail 00484,PURCHASE,401,1.0000,1,1
synth retail 00136,PURCHASE,608,1.0000,1,1
synth fuel 00750,PURCHASE,628,1.0000,1,1
synth service 00201,PURCHASE,609,1.0000,1,1
synth misc 01042,PURCHASE,6022,1.0000,1,1
synth service 00480,SALE,701,1.0000,1,1
synth maintenance 01121,PURCHASE,601,0.7609,10,3
synth office 00977,PURCHASE,622,1.0000,4,1
synth packaging 00196,PURCHASE,401,1.0000,3,1
synth office 00499,SALE,707,0.7917,5,3
synth retail 00629,PURCHASE,622,1.0000,1,1
synth office 00927,PURCHASE,612,0.6875,5,4
synth office 00282,PURCHASE,612,1.0000,1,1
synth retail 00493,PURCHASE,628,0.9107,4,3
synth retail 00070,PURCHASE,608,0.9062,4,2
synth packaging 00094,PURCHASE,602,1.0000,1,1
synth utility 01083,SALE,704,1.0000,1,1
synth office 00841,SALE,411,1.0000,1,1
synth retail 00932,PURCHASE,607,1.0000,1,1
synth service 00253,PURCHASE,602,1.0000,1,1
synth packaging 00299,PURCHASE,608,0.6667,2,2
synth utility 00833,SALE,4427,0.8000,1,2
synth raw material 00601,SALE,4427,1.0000,1,1
synth misc 01191,PURCHASE,607,0.8276,5,3
synth utility 00914,PURCHASE,635,1.0000,4,1
synth transport 00872,PURCHASE,607,0.9259,3,3
synth office 00928,PURCHASE,601,1.0000,1,1
synth retail 01128,PURCHASE,628,1.0000,1,1
synth raw material 01015,SALE,704,1.0000,3,1
synth packaging 00546,SALE,707,0.5000,1,3
synth misc 00131,PURCHASE,613,1.0000,1,1
synth maintenance 00664,PURCHASE,605,1.0000,1,1
synth office 00226,PURCHASE,628,1.0000,1,1
synth retail 01178,PURCHASE,609,1.0000,1,1
synth misc 00822,PURCHASE,635,1.0000,1,1
synth retail 00971,SALE,701,1.0000,1,1
synth transport 00232,PURCHASE,625,1.0000,1,1
synth maintenance 00939,PURCHASE,605,1.0000,1,1
synth retail 00615,PURCHASE,401,1.0000,1,1
synth fuel 00907,SALE,411,1.0000,1,1
synth utility 00473,SALE,707,1.0000,1,1
synth utility 00159,PURCHASE,4426,1.0000,1,1
synth packaging 00421,PURCHASE,401,0.5714,5,3
synth raw material 00854,PURCHASE,628,1.0000,1,1
synth service 00192,PURCHASE,622,1.0000,1,1
synth transport 00193,PURCHASE,601,1.0000,1,1
synth service 00497,PURCHASE,628,0.8235,5,2
synth service 00818,PURCHASE,602,1.0000,1,1
synth fuel 00333,PURCHASE,628,1.0000,1,1
synth packaging 00173,PURCHASE,625,1.0000,1,1
synth maintenance 00806,PURCHASE,6022,1.0000,1,1
synth misc 00778,PURCHASE,613,1.0000,1,1
synth raw material 00405,SALE,707,1.0000,1,1
synth transport 00231,SALE,707,1.0000,1,1
synth service 00055,SALE,707,0.8462,9,2
synth service 00736,PURCHASE,605,1.0000,1,1
synth misc 01081,PURCHASE,635,1.0000,1,1
synth office 00225,PURCHASE,622,1.0000,1,1
synth office 00654,PURCHASE,401,1.0000,1,1
synth utility 00749,PURCHASE,608,0.9565,3,2
synth retail 00164,SALE,411,0.4310,5,4
synth service 00332,PURCHASE,602,0.6667,2,2
synth office 00635,PURCHASE,601,1.0000,1,1
synth utility 00657,SALE,4427,1.0000,1,1
synth packaging 00658,SALE,704,1.0000,1,1
synth utility 00878,PURCHASE,4426,0.4545,3,4
synth raw material 00761,PURCHASE,625,1.0000,1,1
synth service 00211,PURCHASE,613,1.0000,1,1
synth office 01155,PURCHASE,601,0.8511,4,2
synth raw material 00935,SALE,707,0.9333,2,2
synth maintenance 01110,PURCHASE,612,1.0000,4,1
synth office 01087,PURCHASE,4426,0.8056,3,2
synth fuel 00950,PURCHASE,602,1.0000,1,1
synth transport 00366,PURCHASE,608,1.0000,1,1
synth misc 00425,PURCHASE,608,1.0000,1,1
synth misc 00042,PURCHASE,607,0.5000,1,2
synth raw material 00338,PURCHASE,613,1.0000,1,1
synth misc 00840,PURCHASE,622,1.0000,1,1
synth transport 00590,PURCHASE,625,1.0000,1,1
synth transport 00565,SALE,411,1.0000,1,1
synth fuel 00402,PURCHASE,601,0.7500,2,2
synth office 00271,PURCHASE,625,1.0000,1,1
synth misc 00579,PURCHASE,613,1.0000,1,1
synth transport 00334,PURCHASE,635,1.0000,1,1
synth retail 00944,PURCHASE,609,1.0000,1,1
synth maintenance 00867,SALE,701,1.0000,1,1
synth packaging 00858,SALE,701,0.4444,9,4
synth transport 01062,SALE,411,1.0000,1,1
synth misc 00393,PURCHASE,625,0.5778,7,3
synth office 00374,PURCHASE,6022,1.0000,1,1
synth transport 00495,PURCHASE,371,1.0000,1,1
synth fuel 00756,PURCHASE,401,1.0000,4,1
synth fuel 00047,PURCHASE,628,0.5902,9,5
synth fuel 00762,PURCHASE,622,1.0000,1,1
synth raw material 00365,PURCHASE,605,1.0000,1,1
synth maintenance 00605,PURCHASE,608,1.0000,1,1
synth utility 00227,PURCHASE,628,1.0000,1,1
synth fuel 00985,PURCHASE,6022,0.8750,4,2
synth raw material 00265,PURCHASE,607,1.0000,1,1
synth packaging 00129,PURCHASE,6022,1.0000,1,1
synth fuel 00968,PURCHASE,613,0.5000,2,2
synth fuel 00481,SALE,704,0.6400,6,3
synth raw material 01103,PURCHASE,601,0.7000,4,4
synth maintenance 00594,PURCHASE,601,1.0000,1,1
synth packaging 01049,SALE,701,1.0000,1,1
synth fuel 00732,PURCHASE,371,0.5556,5,2
synth service 00980,PURCHASE,605,0.8750,2,2
synth utility 00398,PURCHASE,605,1.0000,1,1
synth raw material 00494,PURCHASE,601,0.6154,3,2
synth office 00604,PURCHASE,6022,0.9130,5,2
synth raw material 00216,PURCHASE,628,1.0000,7,1
synth transport 01057,PURCHASE,601,0.5000,2,2
synth fuel 01033,PURCHASE,4426,0.6667,3,3
synth office 00014,PURCHASE,635,1.0000,1,1
synth transport 00343,PURCHASE,635,1.0000,1,1
synth transport 00064,PURCHASE,612,1.0000,1,1
synth maintenance 00049,PURCHASE,628,0.4667,7,4
synth misc 00154,PURCHASE,6022,1.0000,1,1
synth utility 00080,SALE,701,1.0000,1,1
synth service 00651,SALE,411,1.0000,1,1
synth misc 00125,SALE,704,1.0000,1,1
synth packaging 00194,SALE,4427,1.0000,1,1
synth retail 00021,PURCHASE,625,0.5000,4,3
synth utility 00190,PURCHASE,625,1.0000,1,1
synth misc 00643,SALE,704,1.0000,1,1
synth maintenance 00597,SALE,4427,1.0000,2,1
synth misc 00346,PURCHASE,609,1.0000,1,1
synth misc 00269,SALE,704,1.0000,1,1
synth transport 00457,PURCHASE,608,1.0000,1,1
synth packaging 00369,PURCHASE,628,1.0000,1,1
synth transport 00740,PURCHASE,608,1.0000,1,1
synth packaging 00970,SALE,704,1.0000,1,1
synth raw material 00286,SALE,411,1.0000,4,1
synth misc 00953,SALE,701,0.5455,6,3
synth office 00616,PURCHASE,605,1.0000,1,1
synth maintenance 00472,PURCHASE,401,1.0000,1,1
synth raw material 01010,PURCHASE,6022,1.0000,1,1
synth raw material 00596,PURCHASE,609,0.3333,2,3
synth maintenance 01184,SALE,4427,1.0000,1,1
