cui,company_name,test_lines,accuracy,auto_coverage
9900003,SYNTH COMPANY 003 SRL,258,0.9922,0.9845
9900010,SYNTH COMPANY 010 SRL,200,0.9900,0.9600
9900031,SYNTH COMPANY 031 SRL,73,1.0000,0.9315
9900049,SYNTH COMPANY 049 SRL,61,1.0000,0.9344
9900050,SYNTH COMPANY 050 SRL,60,1.0000,0.9333
9900020,SYNTH COMPANY 020 SRL,56,0.9821,1.0000
9900042,SYNTH COMPANY 042 SRL,53,0.9245,0.7736
9900058,SYNTH COMPANY 058 SRL,52,1.0000,0.8654
9900043,SYNTH COMPANY 043 SRL,44,0.9091,0.7500
9900036,SYNTH COMPANY 036 SRL,38,0.9737,0.8421
9900018,SYNTH COMPANY 018 SRL,33,0.9394,0.7576
9900027,SYNTH COMPANY 027 SRL,32,0.8750,0.8125
9900005,SYNTH COMPANY 005 SRL,31,0.8710,0.6452
9900041,SYNTH COMPANY 041 SRL,30,0.9000,0.7667
9900008,SYNTH COMPANY 008 SRL,27,0.9259,0.7407
9900011,SYNTH COMPANY 011 SRL,25,0.8800,0.8000
9900039,SYNTH COMPANY 039 SRL,25,0.9600,0.7200
9900023,SYNTH COMPANY 023 SRL,24,0.9583,0.7500
9900002,SYNTH COMPANY 002 SRL,22,0.7273,0.1818
9900015,SYNTH COMPANY 015 SRL,22,0.9091,0.8636
9900006,SYNTH COMPANY 006 SRL,21,0.9048,0.6667
9900014,SYNTH COMPANY 014 SRL,20,0.8500,0.5000
9900007,SYNTH COMPANY 007 SRL,19,0.6842,0.4737
9900032,SYNTH COMPANY 032 SRL,19,0.6842,0.4211
9900037,SYNTH COMPANY 037 SRL,19,0.9474,0.3158
9900029,SYNTH COMPANY 029 SRL,18,0.6667,0.3889
9900046,SYNTH COMPANY 046 SRL,18,0.9444,0.7778
9900025,SYNTH COMPANY 025 SRL,17,0.7647,0.5294
9900040,SYNTH COMPANY 040 SRL,17,0.8235,0.5294
9900044,SYNTH COMPANY 044 SRL,17,0.9412,0.9412
9900056,SYNTH COMPANY 056 SRL,17,1.0000,0.5882
9900055,SYNTH COMPANY 055 SRL,16,0.7500,0.3125
9900009,SYNTH COMPANY 009 SRL,15,0.9333,0.1333
9900016,SYNTH COMPANY 016 SRL,15,0.9333,0.6667
9900001,SYNTH COMPANY 001 SRL,14,0.8571,0.8571
9900017,SYNTH COMPANY 017 SRL,14,0.8571,0.4286
9900022,SYNTH COMPANY 022 SRL,14,0.7143,0.5714
9900030,SYNTH COMPANY 030 SRL,14,0.7857,0.2857
9900035,SYNTH COMPANY 035 SRL,14,0.8571,0.5000
9900004,SYNTH COMPANY 004 SRL,13,0.7692,0.4615
9900053,SYNTH COMPANY 053 SRL,13,0.9231,0.1538
9900047,SYNTH COMPANY 047 SRL,12,0.8333,0.2500
9900057,SYNTH COMPANY 057 SRL,12,1.0000,0.7500
9900051,SYNTH COMPANY 051 SRL,10,0.6000,0.3000
9900024,SYNTH COMPANY 024 SRL,8,0.7500,0.6250
9900034,SYNTH COMPANY 034 SRL,8,0.3750,0.1250
9900038,SYNTH COMPANY 038 SRL,7,0.7143,0.2857
9900048,SYNTH COMPANY 048 SRL,7,0.4286,0.0000
9900052,SYNTH COMPANY 052 SRL,7,0.7143,0.1429
9900054,SYNTH COMPANY 054 SRL,6,0.8333,0.1667
9900012,SYNTH COMPANY 012 SRL,5,0.2000,0.0000
9900045,SYNTH COMPANY 045 SRL,5,0.2000,0.0000
9900019,SYNTH COMPANY 019 SRL,4,0.7500,0.2500
9900033,SYNTH COMPANY 033 SRL,4,0.7500,0.2500
9900013,SYNTH COMPANY 013 SRL,3,0.3333,0.3333
9900026,SYNTH COMPANY 026 SRL,3,0.3333,0.3333
9900021,SYNTH COMPANY 021 SRL,2,1.0000,1.0000
9900059,SYNTH COMPANY 059 SRL,2,0.5000,0.0000
9900060,SYNTH COMPANY 060 SRL,1,1.0000,0.0000
