Company,Product,Normalized Product,AccountID,AccountDescription,AccountType,Count,First Seen,Last Seen
SYNTH COMPANY 001 SRL,SYNTH MAINTENANCE 00545,synth maintenance 00545,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,1,2025-03-18,2025-03-18
SYNTH COMPANY 001 SRL,SYNTH OFFICE 01085,synth office 01085,4426,TVA DEDUCTIBILA,Activ,3,2024-10-14,2025-05-05
SYNTH COMPANY 001 SRL,SYNTH RAW MATERIAL 01041,synth raw material 01041,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,5,2025-03-18,2026-04-18
SYNTH COMPANY 001 SRL,SYNTH UTILITY 01016,synth utility 01016,605,CHELT. CU ENERGIA SI APA,Cheltuieli,7,2024-07-08,2025-07-18
SYNTH COMPANY 001 SRL,SYNTH RAW MATERIAL 00027,synth raw material 00027,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,8,2024-07-08,2025-12-10
SYNTH COMPANY 001 SRL,SYNTH UTILITY 00135,synth utility 00135,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,3,2024-07-08,2025-07-18
SYNTH COMPANY 001 SRL,SYNTH MISC 00054,synth misc 00054,612,"CHELT. CU REDEVENTELE, LOCATIILE DE GESTIUNE",Cheltuieli,5,2024-07-30,2025-12-10
SYNTH COMPANY 001 SRL,SYNTH OFFICE 00581,synth office 00581,608,CHELT. PRIVIND AMBALAJELE,Cheltuieli,1,2024-12-26,2024-12-26
SYNTH COMPANY 001 SRL,SYNTH RAW MATERIAL 01045,synth raw material 01045,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,7,2024-11-29,2026-06-25
SYNTH COMPANY 001 SRL,SYNTH SERVICE 00239,synth service 00239,701,VEN. DIN VANZAREA PROD. FINITE,Pasiv,5,2025-07-04,2026-06-25
SYNTH COMPANY 001 SRL,SYNTH SERVICE 00787,synth service 00787,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,1,2026-06-25,2026-06-25
SYNTH COMPANY 001 SRL,SYNTH PACKAGING 00995,synth packaging 00995,704,VEN. DIN SERVICII PRESTATE,Pasiv,2,2025-04-18,2026-06-25
SYNTH COMPANY 001 SRL,SYNTH MAINTENANCE 01069,synth maintenance 01069,4427,TVA COLECTATA,Pasiv,2,2025-04-18,2026-06-25
SYNTH COMPANY 001 SRL,SYNTH UTILITY 00587,synth utility 00587,628,ALTE CHELT. CU SERVICIILE EXECUTATE DE TERTI,Cheltuieli,6,2024-07-26,2025-06-10
SYNTH COMPANY 001 SRL,SYNTH OFFICE 00284,synth office 00284,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,2,2024-10-14,2025-06-10
SYNTH COMPANY 001 SRL,SYNTH PACKAGING 01194,synth packaging 01194,4426,TVA DEDUCTIBILA,Activ,1,2024-07-27,2024-07-27
SYNTH COMPANY 001 SRL,SYNTH UTILITY 00587,synth utility 00587,609,REDUCERI COMERCIALE PRIMITE,Cheltuieli,1,2026-04-18,2026-04-18
SYNTH COMPANY 001 SRL,SYNTH RETAIL 01130,synth retail 01130,707,VEN. DIN VANZAREA MARFURILOR,Pasiv,3,2024-11-29,2025-09-18
SYNTH COMPANY 001 SRL,SYNTH PACKAGING 00004,synth packaging 00004,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,1,2024-06-27,2024-06-27
SYNTH COMPANY 001 SRL,SYNTH TRANSPORT 00009,synth transport 00009,625,"CHELT. CU DEPLASARI, DETASARI",Cheltuieli,1,2024-10-14,2024-10-14
SYNTH COMPANY 001 SRL,SYNTH RETAIL 00911,synth retail 00911,371,MARFURI,Activ,1,2025-07-18,2025-07-18
SYNTH COMPANY 001 SRL,SYNTH SERVICE 00389,synth service 00389,605,CHELT. CU ENERGIA SI APA,Cheltuieli,1,2025-06-29,2025-06-29
SYNTH COMPANY 002 SRL,SYNTH SERVICE 00101,synth service 00101,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,3,2025-02-02,2026-03-03
SYNTH COMPANY 002 SRL,SYNTH FUEL 00441,synth fuel 00441,605,CHELT. CU ENERGIA SI APA,Cheltuieli,6,2024-12-31,2026-06-18
SYNTH COMPANY 002 SRL,SYNTH FUEL 00792,synth fuel 00792,6022,CHELT. PRIVIND COMBUSTIBILUL,Cheltuieli,6,2024-07-26,2026-06-18
